hpo_approach_id,run_id,iteration,config_original_idx,lr,num_layers,hidden_size,dropout_rate,weight_decay,device_used,processing_start_time_abs,processing_duration_s,test_accuracy,fitness_score,train_accuracy
StaticSplit_GPUx3,7c7346df,1,9,9.546870e-03,2,182,0.0869,1.312180e-07,cuda,1747256176.908,4.694,0.7602,0.7602,N/A
StaticSplit_GPUx3,7c7346df,1,12,1.430854e-02,2,87,0.0165,1.426099e-07,cuda,1747256181.603,2.885,0.7583,0.7583,N/A
StaticSplit_GPUx3,7c7346df,1,15,3.882379e-04,1,73,0.0034,3.914559e-05,cuda,1747256184.488,2.496,0.7229,0.7229,N/A
StaticSplit_GPUx3,7c7346df,1,18,1.467691e-04,2,35,0.2814,1.868821e-05,cuda,1747256186.983,2.660,0.6507,0.6507,N/A
StaticSplit_GPUx3,7c7346df,1,11,4.223940e-04,2,168,0.3613,1.379431e-07,cpu,1747256176.931,14.237,0.7307,0.7307,N/A
StaticSplit_GPUx3,7c7346df,1,14,4.502974e-04,2,130,0.2261,1.096175e-05,cpu,1747256191.168,4.802,0.7339,0.7339,N/A
StaticSplit_GPUx3,7c7346df,1,17,1.588072e-03,3,44,0.2928,5.375739e-07,cpu,1747256195.969,8.355,0.7268,0.7268,N/A
StaticSplit_GPUx3,7c7346df,1,10,1.297111e-02,1,54,0.4200,8.119942e-05,cpu,1747256176.924,11.791,0.7370,0.7370,N/A
StaticSplit_GPUx3,7c7346df,1,13,8.456352e-03,2,32,0.3147,1.461534e-06,cpu,1747256188.715,9.257,0.7318,0.7318,N/A
StaticSplit_GPUx3,7c7346df,1,16,3.276657e-03,2,136,0.2587,3.910739e-05,cpu,1747256197.971,3.782,0.7537,0.7537,N/A
StaticSplit_GPUx3,7c7346df,1,19,3.200274e-03,1,62,0.1889,1.274139e-06,cpu,1747256201.754,3.118,0.7428,0.7428,N/A
StaticSplit_GPUx3,7c7346df,1,0,3.206653e-04,3,113,0.0368,7.524139e-06,cpu,1747256176.889,15.002,0.7332,0.7332,N/A
StaticSplit_GPUx3,7c7346df,1,1,4.921397e-04,3,233,0.2469,1.694029e-06,cpu,1747256191.891,6.046,0.7449,0.7449,N/A
StaticSplit_GPUx3,7c7346df,1,2,1.802224e-02,2,98,0.3419,7.095465e-06,cpu,1747256197.936,4.603,0.7320,0.7320,N/A
StaticSplit_GPUx3,7c7346df,1,3,1.272119e-03,3,63,0.3861,8.894203e-05,cpu,1747256201.486,3.432,0.7330,0.7330,N/A
StaticSplit_GPUx3,7c7346df,1,4,1.075209e-02,1,125,0.3135,2.364413e-07,cpu,1747256204.917,1.619,0.7350,0.7350,N/A
StaticSplit_GPUx3,7c7346df,1,5,2.712042e-02,3,58,0.1051,1.333273e-05,cpu,1747256206.537,2.072,0.7380,0.7380,N/A
StaticSplit_GPUx3,7c7346df,1,6,1.672181e-04,1,49,0.0970,2.252821e-05,cpu,1747256208.608,1.519,0.6627,0.6627,N/A
StaticSplit_GPUx3,7c7346df,1,7,8.049016e-03,1,157,0.1810,1.376358e-07,cpu,1747256210.127,1.598,0.7472,0.7472,N/A
StaticSplit_GPUx3,7c7346df,1,8,8.974667e-04,3,56,0.2709,3.346204e-06,cpu,1747256211.726,2.039,0.7297,0.7297,N/A
StaticSplit_GPUx3,7c7346df,2,10,1.528392e-04,3,72,0.0438,1.441667e-06,cuda,1747256216.805,4.493,0.7240,0.7240,N/A
StaticSplit_GPUx3,7c7346df,2,13,1.309767e-03,2,35,0.0990,1.174861e-06,cuda,1747256221.298,2.763,0.7369,0.7369,N/A
StaticSplit_GPUx3,7c7346df,2,16,3.787337e-04,1,35,0.4280,9.135667e-05,cuda,1747256224.061,2.394,0.6999,0.6999,N/A
StaticSplit_GPUx3,7c7346df,2,19,3.276657e-03,2,136,0.2587,3.878542e-05,cuda,1747256226.455,3.132,0.7531,0.7531,N/A
StaticSplit_GPUx3,7c7346df,2,11,3.130434e-03,3,175,0.0398,1.992538e-07,cpu,1747256216.916,17.962,0.7628,0.7628,N/A
StaticSplit_GPUx3,7c7346df,2,14,8.049016e-03,1,157,0.1810,1.504080e-07,cpu,1747256233.799,4.105,0.7494,0.7494,N/A
StaticSplit_GPUx3,7c7346df,2,17,4.235887e-04,2,112,0.4351,3.761205e-06,cpu,1747256237.904,4.738,0.7254,0.7254,N/A
StaticSplit_GPUx3,7c7346df,2,9,5.870621e-03,2,186,0.4185,3.105393e-07,cpu,1747256216.721,16.262,0.7372,0.7372,N/A
StaticSplit_GPUx3,7c7346df,2,12,5.011795e-03,2,127,0.2970,1.264641e-05,cpu,1747256232.982,3.989,0.7460,0.7460,N/A
StaticSplit_GPUx3,7c7346df,2,15,1.430854e-02,2,87,0.0165,1.769106e-07,cpu,1747256235.893,5.086,0.7598,0.7598,N/A
StaticSplit_GPUx3,7c7346df,2,18,2.081345e-02,1,144,0.3994,3.802590e-05,cpu,1747256240.979,3.026,0.7302,0.7302,N/A
StaticSplit_GPUx3,7c7346df,2,0,1.430854e-02,2,87,0.0165,1.409999e-07,cpu,1747256216.714,13.608,0.7600,0.7600,N/A
StaticSplit_GPUx3,7c7346df,2,1,1.111339e-04,1,99,0.0941,2.327657e-05,cpu,1747256230.323,3.114,0.6593,0.6593,N/A
StaticSplit_GPUx3,7c7346df,2,2,9.546870e-03,2,182,0.0869,1.059281e-07,cpu,1747256233.437,8.023,0.7630,0.7630,N/A
StaticSplit_GPUx3,7c7346df,2,3,2.859557e-04,3,65,0.1146,9.174090e-06,cpu,1747256240.382,3.386,0.7291,0.7291,N/A
StaticSplit_GPUx3,7c7346df,2,4,8.049016e-03,1,157,0.1810,1.166646e-07,cpu,1747256243.768,1.667,0.7627,0.7627,N/A
StaticSplit_GPUx3,7c7346df,2,5,1.154218e-02,2,182,0.0869,1.312180e-07,cpu,1747256245.435,2.170,0.7576,0.7576,N/A
StaticSplit_GPUx3,7c7346df,2,6,9.546870e-03,2,182,0.1208,1.312180e-07,cpu,1747256247.605,2.145,0.7670,0.7670,N/A
StaticSplit_GPUx3,7c7346df,2,7,9.546870e-03,2,182,0.0869,1.312180e-07,cpu,1747256249.751,2.160,0.7537,0.7537,N/A
StaticSplit_GPUx3,7c7346df,2,8,4.921397e-04,3,233,0.2469,1.597032e-06,cpu,1747256251.911,2.955,0.7401,0.7401,N/A
StaticSplit_GPUx3,7c7346df,3,11,3.130434e-03,3,160,0.0398,1.992538e-07,cuda,1747256257.899,4.665,0.7695,0.7695,N/A
StaticSplit_GPUx3,7c7346df,3,14,1.025151e-02,2,182,0.0869,1.059281e-07,cuda,1747256262.564,2.976,0.7499,0.7499,N/A
StaticSplit_GPUx3,7c7346df,3,17,9.546870e-03,2,182,0.1208,1.312180e-07,cuda,1747256264.455,2.737,0.7656,0.7656,N/A
StaticSplit_GPUx3,7c7346df,3,10,8.049016e-03,1,168,0.1810,1.166646e-07,cpu,1747256257.833,12.154,0.7512,0.7512,N/A
StaticSplit_GPUx3,7c7346df,3,13,1.633146e-02,2,87,0.0165,1.769106e-07,cpu,1747256268.902,3.871,0.7566,0.7566,N/A
StaticSplit_GPUx3,7c7346df,3,16,1.430854e-02,2,87,0.0165,1.769106e-07,cpu,1747256272.773,4.427,0.7521,0.7521,N/A
StaticSplit_GPUx3,7c7346df,3,19,1.085837e-02,2,87,0.0165,1.409999e-07,cpu,1747256277.200,3.476,0.7582,0.7582,N/A
StaticSplit_GPUx3,7c7346df,3,9,4.224260e-04,1,73,0.3089,1.849619e-06,cpu,1747256257.830,11.848,0.7151,0.7151,N/A
StaticSplit_GPUx3,7c7346df,3,12,1.104199e-03,2,103,0.2796,3.608632e-07,cpu,1747256268.593,6.432,0.7439,0.7439,N/A
StaticSplit_GPUx3,7c7346df,3,15,5.815565e-04,1,59,0.4503,1.237474e-05,cpu,1747256275.025,4.521,0.7190,0.7190,N/A
StaticSplit_GPUx3,7c7346df,3,18,3.142410e-02,2,200,0.2557,1.362569e-07,cpu,1747256279.546,2.791,0.6811,0.6811,N/A
StaticSplit_GPUx3,7c7346df,3,0,5.241211e-04,1,51,0.0684,1.531541e-07,cpu,1747256257.769,10.877,0.7225,0.7225,N/A
StaticSplit_GPUx3,7c7346df,3,1,1.430854e-02,2,87,0.0165,1.534825e-07,cpu,1747256267.561,4.830,0.7625,0.7625,N/A
StaticSplit_GPUx3,7c7346df,3,2,1.130759e-02,2,87,0.0165,1.409999e-07,cpu,1747256272.391,5.185,0.7722,0.7722,N/A
StaticSplit_GPUx3,7c7346df,3,3,1.020659e-04,3,32,0.4321,7.341726e-07,cpu,1747256277.576,5.434,0.5757,0.5757,N/A
StaticSplit_GPUx3,7c7346df,3,4,1.940920e-02,2,96,0.3286,1.440378e-05,cpu,1747256283.010,1.888,0.7227,0.7227,N/A
StaticSplit_GPUx3,7c7346df,3,5,3.992386e-03,3,217,0.2224,1.152383e-07,cpu,1747256284.898,2.798,0.7571,0.7571,N/A
StaticSplit_GPUx3,7c7346df,3,6,3.888478e-04,2,218,0.4114,9.244912e-06,cpu,1747256287.696,2.195,0.7352,0.7352,N/A
StaticSplit_GPUx3,7c7346df,3,7,1.296701e-03,3,110,0.4262,2.037945e-07,cpu,1747256289.891,2.257,0.7335,0.7335,N/A
StaticSplit_GPUx3,7c7346df,3,8,9.546870e-03,2,182,0.0288,1.312180e-07,cpu,1747256292.148,2.071,0.7518,0.7518,N/A
StaticSplit_GPUx3,7c7346df,4,11,1.262202e-02,2,87,0.0165,1.409999e-07,cuda,1747256296.265,4.304,0.7602,0.7602,N/A
StaticSplit_GPUx3,7c7346df,4,14,3.084704e-04,1,35,0.2731,1.670634e-06,cuda,1747256300.569,2.804,0.6938,0.6938,N/A
StaticSplit_GPUx3,7c7346df,4,17,2.335533e-04,2,219,0.2153,1.001586e-05,cuda,1747256303.373,2.722,0.7294,0.7294,N/A
StaticSplit_GPUx3,7c7346df,4,10,1.085837e-02,2,104,0.0165,1.409999e-07,cpu,1747256296.254,11.052,0.7630,0.7630,N/A
StaticSplit_GPUx3,7c7346df,4,13,9.339012e-03,3,121,0.2181,1.367700e-05,cpu,1747256307.307,5.073,0.7422,0.7422,N/A
StaticSplit_GPUx3,7c7346df,4,16,1.130759e-02,2,80,0.0165,1.409999e-07,cpu,1747256312.380,4.050,0.7560,0.7560,N/A
StaticSplit_GPUx3,7c7346df,4,19,9.546870e-03,2,160,0.1208,1.312180e-07,cpu,1747256316.429,5.917,0.7459,0.7459,N/A
StaticSplit_GPUx3,7c7346df,4,9,1.130759e-02,2,87,0.0165,1.409999e-07,cpu,1747256296.157,13.112,0.7640,0.7640,N/A
StaticSplit_GPUx3,7c7346df,4,12,4.183018e-04,1,36,0.0841,1.694398e-06,cpu,1747256309.269,7.621,0.7123,0.7123,N/A
StaticSplit_GPUx3,7c7346df,4,15,1.085837e-02,2,87,0.0165,1.241589e-07,cpu,1747256316.890,4.485,0.7549,0.7549,N/A
StaticSplit_GPUx3,7c7346df,4,18,1.130759e-02,2,87,0.0483,1.409999e-07,cpu,1747256321.375,2.447,0.7611,0.7611,N/A
StaticSplit_GPUx3,7c7346df,4,0,1.085837e-02,2,87,0.0165,1.466371e-07,cpu,1747256296.113,13.340,0.7658,0.7658,N/A
StaticSplit_GPUx3,7c7346df,4,1,2.203541e-03,3,63,0.2200,1.339899e-05,cpu,1747256309.453,2.904,0.7437,0.7437,N/A
StaticSplit_GPUx3,7c7346df,4,2,1.071946e-04,2,148,0.3874,1.416495e-06,cpu,1747256312.356,4.386,0.7041,0.7041,N/A
StaticSplit_GPUx3,7c7346df,4,3,1.757653e-02,1,253,0.3271,8.706791e-07,cpu,1747256316.742,5.198,0.7388,0.7388,N/A
StaticSplit_GPUx3,7c7346df,4,4,1.999234e-02,1,136,0.3360,6.587951e-07,cpu,1747256321.940,2.321,0.7356,0.7356,N/A
StaticSplit_GPUx3,7c7346df,4,5,7.603609e-04,2,144,0.3608,4.876776e-07,cpu,1747256324.260,2.008,0.7361,0.7361,N/A
StaticSplit_GPUx3,7c7346df,4,6,4.591971e-03,3,217,0.2224,1.152383e-07,cpu,1747256326.268,2.873,0.7547,0.7547,N/A
StaticSplit_GPUx3,7c7346df,4,7,9.546870e-03,2,182,0.1208,1.312180e-07,cpu,1747256328.072,2.114,0.7542,0.7542,N/A
StaticSplit_GPUx3,7c7346df,4,8,2.592048e-02,1,93,0.4117,3.462797e-07,cpu,1747256330.186,1.564,0.7323,0.7323,N/A
StaticSplit_GPUx3,7c7346df,5,0,1.085837e-02,2,96,0.0165,1.409999e-07,cuda,1747256334.709,4.371,0.7627,0.7627,N/A
StaticSplit_GPUx3,7c7346df,5,1,8.552007e-03,2,87,0.0165,1.466371e-07,cuda,1747256339.079,2.556,0.7685,0.7685,N/A
StaticSplit_GPUx3,7c7346df,5,2,1.085837e-02,2,104,0.0165,1.556235e-07,cuda,1747256341.635,2.825,0.7590,0.7590,N/A
StaticSplit_GPUx3,7c7346df,5,3,1.390157e-03,1,96,0.3280,2.698050e-07,cuda,1747256344.460,2.426,0.7375,0.7375,N/A
StaticSplit_GPUx3,7c7346df,5,4,1.345657e-02,3,130,0.0436,2.857313e-07,cuda,1747256346.886,3.369,0.7555,0.7555,N/A
StaticSplit_GPUx3,7c7346df,5,5,3.234660e-03,2,48,0.0899,1.444059e-05,cuda,1747256350.256,2.605,0.7504,0.7504,N/A
StaticSplit_GPUx3,7c7346df,5,6,5.244815e-04,2,177,0.4783,5.312556e-05,cuda,1747256352.861,2.852,0.7293,0.7293,N/A
StaticSplit_GPUx3,7c7346df,5,7,1.262202e-02,2,87,0.1018,1.409999e-07,cuda,1747256355.713,2.764,0.7555,0.7555,N/A
StaticSplit_GPUx3,7c7346df,5,8,1.104397e-02,3,155,0.1251,2.206388e-06,cuda,1747256357.330,3.817,0.7526,0.7526,N/A
StaticSplit_GPUx3,7c7346df,5,11,8.154373e-04,2,159,0.2768,3.190485e-06,cpu,1747256334.819,18.391,0.7471,0.7471,N/A
StaticSplit_GPUx3,7c7346df,5,14,1.126534e-02,2,87,0.0165,1.466371e-07,cpu,1747256353.209,10.317,0.7648,0.7648,N/A
StaticSplit_GPUx3,7c7346df,5,17,2.574770e-04,3,99,0.3239,1.183715e-06,cpu,1747256362.379,5.635,0.7240,0.7240,N/A
StaticSplit_GPUx3,7c7346df,5,9,5.141210e-03,1,103,0.2954,8.647748e-05,cpu,1747256334.773,11.653,0.7524,0.7524,N/A
StaticSplit_GPUx3,7c7346df,5,12,1.262202e-02,1,87,0.0165,1.409999e-07,cpu,1747256346.426,8.885,0.7498,0.7498,N/A
StaticSplit_GPUx3,7c7346df,5,15,4.804893e-04,2,247,0.0868,7.946866e-05,cpu,1747256355.311,11.928,0.7468,0.7468,N/A
StaticSplit_GPUx3,7c7346df,5,18,1.130759e-02,2,64,0.0165,1.409999e-07,cpu,1747256366.091,3.250,0.7577,0.7577,N/A
StaticSplit_GPUx3,7c7346df,5,10,1.615228e-03,2,36,0.4665,6.225671e-07,cpu,1747256334.777,17.284,0.7251,0.7251,N/A
StaticSplit_GPUx3,7c7346df,5,13,1.085837e-02,2,87,0.0165,1.466371e-07,cpu,1747256352.061,11.531,0.7543,0.7543,N/A
StaticSplit_GPUx3,7c7346df,5,16,1.130759e-02,2,80,0.0165,1.420514e-07,cpu,1747256362.444,5.878,0.7668,0.7668,N/A
StaticSplit_GPUx3,7c7346df,5,19,1.085837e-02,2,104,0.0165,1.533086e-07,cpu,1747256368.323,2.275,0.7516,0.7516,N/A
StaticSplit_GPUx3,7c7346df,6,10,2.868228e-02,1,56,0.2047,2.506769e-05,cuda,1747256373.746,3.875,0.7389,0.7389,N/A
StaticSplit_GPUx3,7c7346df,6,13,1.160304e-04,3,89,0.3077,9.335798e-06,cuda,1747256377.621,3.136,0.6969,0.6969,N/A
StaticSplit_GPUx3,7c7346df,6,16,8.552007e-03,2,87,0.0165,1.210110e-07,cuda,1747256380.757,2.891,0.7579,0.7579,N/A
StaticSplit_GPUx3,7c7346df,6,19,1.130759e-02,2,88,0.0165,1.420514e-07,cuda,1747256383.648,2.491,0.7561,0.7561,N/A
StaticSplit_GPUx3,7c7346df,6,11,1.130759e-02,2,64,0.0165,1.409999e-07,cpu,1747256373.787,13.425,0.7572,0.7572,N/A
StaticSplit_GPUx3,7c7346df,6,14,1.085837e-02,1,96,0.0165,1.409999e-07,cpu,1747256387.212,3.357,0.7531,0.7531,N/A
StaticSplit_GPUx3,7c7346df,6,17,1.291211e-03,2,112,0.1283,1.327814e-06,cpu,1747256389.413,5.041,0.7473,0.7473,N/A
StaticSplit_GPUx3,7c7346df,6,9,3.116364e-02,2,36,0.4766,9.937091e-06,cpu,1747256373.723,16.718,0.7020,0.7020,N/A
StaticSplit_GPUx3,7c7346df,6,12,1.937066e-02,3,54,0.2088,7.982233e-05,cpu,1747256389.286,4.860,0.7213,0.7213,N/A
StaticSplit_GPUx3,7c7346df,6,15,1.126534e-02,2,80,0.0165,1.466371e-07,cpu,1747256394.145,2.420,0.7641,0.7641,N/A
StaticSplit_GPUx3,7c7346df,6,18,7.618254e-04,2,37,0.2511,9.665769e-07,cpu,1747256396.566,1.920,0.7317,0.7317,N/A
StaticSplit_GPUx3,7c7346df,6,0,1.130759e-02,2,80,0.0165,1.133038e-07,cpu,1747256373.685,13.465,0.7566,0.7566,N/A
StaticSplit_GPUx3,7c7346df,6,1,2.178561e-02,2,175,0.2783,1.221025e-05,cpu,1747256387.150,5.211,0.7145,0.7145,N/A
StaticSplit_GPUx3,7c7346df,6,2,1.104396e-02,2,72,0.3172,1.163386e-06,cpu,1747256391.206,4.042,0.7397,0.7397,N/A
StaticSplit_GPUx3,7c7346df,6,3,2.327279e-02,1,148,0.0474,2.892212e-06,cpu,1747256395.248,1.819,0.7333,0.7333,N/A
StaticSplit_GPUx3,7c7346df,6,4,8.552007e-03,2,87,0.0165,1.466371e-07,cpu,1747256397.067,2.114,0.7644,0.7644,N/A
StaticSplit_GPUx3,7c7346df,6,5,8.970985e-03,2,64,0.0165,1.409999e-07,cpu,1747256399.182,1.902,0.7655,0.7655,N/A
StaticSplit_GPUx3,7c7346df,6,6,8.552007e-03,1,87,0.0165,1.466371e-07,cpu,1747256401.084,1.669,0.7444,0.7444,N/A
StaticSplit_GPUx3,7c7346df,6,7,2.131510e-02,3,57,0.4367,2.549345e-05,cpu,1747256402.752,2.151,0.7155,0.7155,N/A
StaticSplit_GPUx3,7c7346df,6,8,8.584397e-03,2,80,0.0165,1.420514e-07,cpu,1747256404.903,1.797,0.7675,0.7675,N/A
StaticSplit_GPUx3,7c7346df,7,10,5.014220e-04,1,238,0.0666,2.291828e-06,cuda,1747256409.718,4.119,0.7363,0.7363,N/A
StaticSplit_GPUx3,7c7346df,7,13,8.552007e-03,2,87,0.0000,1.210110e-07,cuda,1747256413.837,2.582,0.7665,0.7665,N/A
StaticSplit_GPUx3,7c7346df,7,16,8.584397e-03,2,80,0.0165,1.420514e-07,cuda,1747256416.419,2.747,0.7641,0.7641,N/A
StaticSplit_GPUx3,7c7346df,7,19,1.188785e-02,3,70,0.4018,1.228136e-06,cuda,1747256419.166,2.944,0.7327,0.7327,N/A
StaticSplit_GPUx3,7c7346df,7,11,5.335102e-04,1,92,0.4260,2.262125e-06,cpu,1747256409.754,13.192,0.7221,0.7221,N/A
StaticSplit_GPUx3,7c7346df,7,14,3.577508e-04,2,165,0.1783,7.904275e-06,cpu,1747256421.773,5.169,0.7361,0.7361,N/A
StaticSplit_GPUx3,7c7346df,7,17,1.077266e-04,1,75,0.4694,4.197478e-06,cpu,1747256426.942,3.461,0.6608,0.6608,N/A
StaticSplit_GPUx3,7c7346df,7,9,2.806712e-04,2,32,0.4801,3.573921e-05,cpu,1747256409.666,16.130,0.6629,0.6629,N/A
StaticSplit_GPUx3,7c7346df,7,12,8.196257e-03,1,166,0.4031,9.559660e-05,cpu,1747256424.623,3.315,0.7460,0.7460,N/A
StaticSplit_GPUx3,7c7346df,7,15,8.584397e-03,2,80,0.0165,1.420514e-07,cpu,1747256427.938,3.314,0.7590,0.7590,N/A
StaticSplit_GPUx3,7c7346df,7,18,1.126534e-02,1,80,0.0165,1.466371e-07,cpu,1747256431.252,1.829,0.7536,0.7536,N/A
StaticSplit_GPUx3,7c7346df,7,0,1.234484e-04,2,182,0.2771,1.098482e-05,cpu,1747256409.664,15.233,0.7165,0.7165,N/A
StaticSplit_GPUx3,7c7346df,7,1,3.222820e-04,2,43,0.4554,8.019196e-05,cpu,1747256423.724,6.765,0.6942,0.6942,N/A
StaticSplit_GPUx3,7c7346df,7,2,8.552007e-03,2,72,0.0165,1.210110e-07,cpu,1747256430.489,2.467,0.7525,0.7525,N/A
StaticSplit_GPUx3,7c7346df,7,3,7.424237e-03,2,64,0.0165,1.409999e-07,cpu,1747256432.957,2.251,0.7598,0.7598,N/A
StaticSplit_GPUx3,7c7346df,7,4,2.270505e-03,3,208,0.4927,5.194557e-05,cpu,1747256435.207,2.708,0.7369,0.7369,N/A
StaticSplit_GPUx3,7c7346df,7,5,1.012679e-02,2,87,0.0165,1.466371e-07,cpu,1747256437.916,1.889,0.7581,0.7581,N/A
StaticSplit_GPUx3,7c7346df,7,6,1.126534e-02,1,80,0.0165,1.466371e-07,cpu,1747256439.805,1.571,0.7481,0.7481,N/A
StaticSplit_GPUx3,7c7346df,7,7,8.552007e-03,2,72,0.0165,1.466371e-07,cpu,1747256441.376,1.931,0.7625,0.7625,N/A
StaticSplit_GPUx3,7c7346df,7,8,8.584397e-03,2,80,0.0165,1.335511e-07,cpu,1747256443.307,1.828,0.7606,0.7606,N/A
StaticSplit_GPUx3,7c7346df,8,11,8.552007e-03,2,80,0.0000,1.210110e-07,cuda,1747256448.151,4.078,0.7605,0.7605,N/A
StaticSplit_GPUx3,7c7346df,8,14,7.987203e-04,2,57,0.1459,2.380753e-06,cuda,1747256451.054,2.659,0.7356,0.7356,N/A
StaticSplit_GPUx3,7c7346df,8,17,1.954750e-02,2,38,0.4222,1.280925e-05,cuda,1747256453.713,2.756,0.7185,0.7185,N/A
StaticSplit_GPUx3,7c7346df,8,10,8.584397e-03,2,80,0.0165,1.106633e-07,cpu,1747256448.129,11.040,0.7613,0.7613,N/A
StaticSplit_GPUx3,7c7346df,8,13,7.424237e-03,1,64,0.0165,1.409999e-07,cpu,1747256457.994,3.940,0.7585,0.7585,N/A
StaticSplit_GPUx3,7c7346df,8,16,3.097597e-02,2,172,0.1248,2.330180e-07,cpu,1747256461.934,8.564,0.7153,0.7153,N/A
